%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p10.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c5 {yes,no}
@attribute c8 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute webhits integer
@attribute three_consonants {yes,no}
@attribute has_double_letter {yes,no}
@attribute has_x {yes,no}
@attribute has_h {yes,no}
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data
"gatito", 3, no, no, no, no, no, 6,0.5,5790000, no, no, no, no, no, no, yes
"genial", 5, no, yes, no, no, no, 6,0.5,32900000, no, no, no, no, no, no, yes
"geranio", 4, no, yes, no, no, no, 7,0.571429,735000, no, no, no, no, no, no, yes
"grupos", 6, no, no, no, no, no, 6,0.333333,125000000, no, no, no, no, yes, no, yes
"guardaban", 6, no, no, no, no, yes, 9,0.444444,1210000, no, no, no, no, no, yes, yes
"guerra", 5, no, no, no, no, yes, 6,0.5,141000000, no, yes, no, no, no, no, yes
"ha", 24, no, no, no, no, no, 2,0.5,12310000000, no, no, no, yes, no, no, yes
"ha ganado", 0, no, no, no, no, no, 9,0.444444,77800000, no, no, no, yes, no, no, yes
"ha producido", 0, no, no, no, no, no, 12,0.416667,62800000, no, no, no, yes, yes, no, yes
"ha roto", 0, no, no, no, no, no, 7,0.428571,43800000, no, no, no, yes, no, no, yes
"habitación", 2, no, no, no, no, no, 10,0.5,31300000, no, no, no, yes, no, no, yes
"hablar", 14, no, no, no, no, no, 6,0.333333,49600000, no, no, no, yes, no, no, yes
"había", 10, no, no, no, no, no, 5,0.6,73900000, no, no, no, yes, no, no, yes
"habían", 9, no, no, no, no, no, 6,0.5,24500000, no, no, no, yes, no, no, yes
"hacemos", 17, no, no, no, no, no, 7,0.428571,39300000, no, no, no, yes, no, no, yes
"hago", 18, no, no, no, no, no, 4,0.5,40300000, no, no, no, yes, no, no, yes
"hará", 9, no, no, no, no, no, 4,0.5,31800000, no, no, no, yes, no, no, yes
"haya", 28, no, no, yes, no, no, 4,0.5,67700000, no, no, no, yes, no, no, yes
"hayas", 27, no, no, yes, no, no, 5,0.4,7450000, no, no, no, yes, no, no, yes
"haz", 13, no, no, no, no, no, 3,0.333333,81300000, no, no, no, yes, no, no, yes
"hecha", 13, no, no, no, no, no, 5,0.4,19300000, no, no, no, yes, no, no, yes
"hemos", 11, no, no, no, no, no, 5,0.4,76500000, no, no, no, yes, no, no, yes
"hermana", 12, no, no, no, no, no, 7,0.428571,20800000, no, no, no, yes, no, no, yes
"hibridación", 1, no, no, no, no, no, 11,0.454545,1420000, no, no, no, yes, no, no, yes
"hicieron", 4, no, no, no, no, no, 8,0.5,26100000, no, no, no, yes, no, no, yes
"hiciste", 1, no, no, no, no, no, 7,0.428571,5240000, no, no, no, yes, no, no, yes
"hojalata", 2, no, yes, no, no, no, 8,0.5,666000, no, no, no, yes, no, no, yes
"hombre", 12, no, no, no, no, no, 6,0.333333,141000000, yes, no, no, yes, no, no, yes
"hora", 28, no, no, no, no, no, 4,0.5,212000000, no, no, no, yes, no, no, yes
"hueco", 18, no, no, no, no, no, 5,0.6,7200000, no, no, no, yes, yes, no, yes
"huele", 15, no, no, no, no, no, 5,0.6,3650000, no, no, no, yes, no, no, yes
"huevos", 9, no, no, no, no, no, 6,0.5,16700000, no, no, no, yes, yes, no, yes
"humano", 14, no, no, no, no, no, 6,0.5,62300000, no, no, no, yes, yes, no, yes
"humo", 24, no, no, no, no, no, 4,0.5,11600000, no, no, no, yes, yes, no, yes
"iba", 19, no, no, no, no, no, 3,0.666667,64300000, no, no, no, no, no, no, yes
"ilustrador", 5, no, no, no, no, no, 10,0.4,2540000, yes, no, no, no, yes, no, yes
"indica", 19, no, no, no, no, no, 6,0.5,53600000, no, no, no, no, no, no, yes
"inmovilizó", 3, no, no, no, no, no, 10,0.5,263000, no, no, no, no, no, no, yes
"inolvidable", 2, yes, no, no, no, no, 11,0.454545,8120000, no, no, no, no, no, no, yes
"intemperie", 2, no, no, no, no, no, 10,0.5,2020000, no, no, no, no, no, no, yes
"interior", 3, no, no, no, no, no, 8,0.5,402000000, no, no, no, no, no, no, yes
"introducción", 1, no, no, no, no, no, 12,0.416667,27400000, yes, yes, no, no, yes, no, yes
"invariables", 2, yes, no, no, no, no, 11,0.454545,352000, no, no, no, no, no, no, yes
"invencible", 3, yes, no, no, no, no, 10,0.4,1440000, no, no, no, no, no, no, yes
"invierno", 7, no, no, no, no, no, 8,0.5,30400000, no, no, no, no, no, no, yes
"jersey", 3, no, yes, yes, no, no, 6,0.333333,281000000, no, no, no, no, no, no, yes
"juego", 10, no, yes, no, no, no, 5,0.6,107000000, no, no, no, no, yes, no, yes
"juegos", 7, no, yes, no, no, no, 6,0.5,181000000, no, no, no, no, yes, no, yes
"justo", 13, no, yes, no, no, no, 5,0.4,50900000, no, no, no, no, yes, no, yes
"la fábrica", 0, no, no, no, no, no, 10,0.4,3430000, no, no, no, no, no, no, yes
"lavavajillas", 1, yes, yes, no, no, no, 12,0.416667,4260000, no, yes, no, no, no, no, yes
"lejos", 17, no, yes, no, no, no, 5,0.4,29200000, no, no, no, no, no, no, yes
"libro", 14, no, no, no, no, no, 5,0.4,130000000, no, no, no, no, no, no, yes
"litros", 12, no, no, no, no, no, 6,0.333333,20700000, no, no, no, no, no, no, yes
"llaman", 12, no, no, no, no, no, 6,0.333333,19200000, no, yes, no, no, no, no, yes
"llevará", 11, no, no, no, no, no, 7,0.428571,14000000, no, yes, no, no, no, no, yes
"longeva", 3, no, yes, no, no, no, 7,0.428571,2240000, no, no, no, no, no, no, yes
"longevo", 3, no, yes, no, no, no, 7,0.428571,1920000, no, no, no, no, no, no, yes
"luces", 20, no, no, no, no, no, 5,0.4,26500000, no, no, no, no, no, no, yes
"lápiz", 1, no, no, no, no, no, 5,0.4,5300000, no, no, no, no, no, no, yes
"línea", 4, no, no, no, no, no, 5,0.6,108000000, no, no, no, no, no, no, yes
"líquido", 5, no, no, no, yes, no, 7,0.571429,18000000, no, no, no, no, yes, no, yes
"masculino", 3, no, no, no, yes, no, 9,0.444444,42400000, no, no, no, no, yes, no, yes
"mayores", 6, no, no, yes, no, no, 7,0.428571,46700000, no, no, no, no, no, no, yes
"me cuesta cantar", 0, no, no, no, yes, no, 16,0.375,7280000, no, no, no, no, no, no, yes
"me regaló", 0, no, no, no, no, no, 9,0.444444,13400000, no, no, no, no, no, no, yes
"mentita", 3, no, no, no, no, no, 7,0.428571,209000, no, no, no, no, no, no, yes
"mexicano", 4, no, no, no, no, no, 8,0.5,43300000, no, no, yes, no, no, no, yes
"mi padre", 0, no, no, no, no, no, 8,0.375,6890000, no, no, no, no, no, no, yes
"mirada", 28, no, no, no, no, no, 6,0.5,26100000, no, no, no, no, no, no, yes
